name	acc	protein_type	start	end	exon_count	exon_starts	exon_ends	external_reference	reverse	stop_codons	frameshifts	gaps	percent_identity	left_unaligned	right_unaligned	align_data	classification_id	description
HERVIP10F_env	DF0000186	env	5594	7735	1	[5594]	[7735]	None	False	0	0	0	100	0	0	None	260	(also in Harlequin) [Catarrhini]
HERVIP10F_gag	DF0000186	gag	504	2216	1	[504]	[2216]	None	False	0	0	0	100	0	0	None	260	[Catarrhini]
HERVIP10F_pol	DF0000186	pol	2220	5720	1	[2220]	[5720]	None	False	0	0	0	100	0	0	None	260	[Catarrhini]
HERVK_env	DF0000188	env	5483	7534	1	[5483]	[7534]	None	False	0	0	0	100	0	0	None	273	[Catarrhini]
HERVK_gag	DF0000188	gag	144	2012	1	[144]	[2012]	None	False	0	0	0	99.84	0	0	None	273	[Catarrhini]
HERVK_pol	DF0000188	pol	2911	5778	1	[2911]	[5778]	None	False	0	0	0	100	0	0	None	273	[Catarrhini]
HERVK_pro	DF0000188	pro	2012	2947	1	[2012]	[2947]	None	False	0	0	0	100	0	0	None	273	[Catarrhini]
HERVK11_env	DF0000189	env	5624	7951	1	[5624]	[7951]	None	False	0	0	0	100	0	0	None	273	[Catarrhini]
HERVK11_gag	DF0000189	gag	156	2264	1	[156]	[2264]	None	False	0	0	0	100	0	0	None	273	[Catarrhini]
HERVK11_pol	DF0000189	pol	3037	5766	1	[3037]	[5766]	None	False	0	0	0	100	0	0	None	273	[Catarrhini]
HERVK11_pro	DF0000189	pro	2075	3079	1	[2075]	[3079]	None	False	0	0	0	100	0	0	None	273	[Catarrhini]
HERVK11D_env	DF0000190	env	5759	7750	1	[5759]	[7750]	None	False	1	0	0	99.85	0	0	None	273	via tfasty with HERVK_env [Hominoidea]
HERVK11D_gag	DF0000190	gag	162	2225	1	[162]	[2225]	None	False	0	0	0	100	0	0	None	273	[Hominoidea]
HERVK11D_pol	DF0000190	pol	3025	5758	1	[3025]	[5758]	None	False	1	1	0	99.89	0	0	None	273	via tfasty with HERVK_pol [Hominoidea]
HERVK11D_pro	DF0000190	pro	2177	2959	1	[2177]	[2959]	None	False	0	0	0	100	0	0	None	273	[Hominoidea]
HERVK14_gag	DF0000192	gag	149	1795	1	[149]	[1795]	None	False	0	0	0	100	0	0	None	273	[Catarrhini]
HERVK14_pol	DF0000192	pol	2535	5180	1	[2535]	[5180]	None	False	0	0	0	100	0	0	None	273	[Catarrhini]
HERVK14_pro	DF0000192	pro	1657	2601	1	[1657]	[2601]	None	False	0	0	0	100	0	0	None	273	[Catarrhini]
HERVK14C_env	DF0000193	env	5388	7433	1	[5388]	[7433]	None	False	0	0	0	100	0	0	None	273	[Catarrhini]
HERVK14C_gag	DF0000193	gag	171	1961	1	[171]	[1961]	None	False	0	0	0	99.83	0	0	None	273	[Catarrhini]
HERVK14C_pol	DF0000193	pol	2824	5473	1	[2824]	[5473]	None	False	0	1	0	100	0	0	None	273	via tfasty with HERVK_pol [Catarrhini]
HERVK14C_pro	DF0000193	pro	1961	2848	1	[1961]	[2848]	None	False	0	0	0	100	0	0	None	273	[Catarrhini]
HERVK22_env	DF0000194	env	4904	6835	1	[4904]	[6835]	None	False	0	0	0	99.69	0	0	None	273	[Simiiformes]
HERVK22_gag	DF0000194	gag	159	1616	1	[159]	[1616]	None	False	0	0	0	98.77	0	0	None	273	[Simiiformes]
HERVK22_pol	DF0000194	pol	2343	5055	1	[2343]	[5055]	None	False	3	1	0	99.34	0	0	None	273	via tfasty with HERVK_pol [Simiiformes]
HERVK22_pro	DF0000194	pro	1619	2446	1	[1619]	[2446]	None	False	0	0	0	100	1	0	None	273	[Simiiformes]
HERVK3_env	DF0000195	env	5285	7200	1	[5285]	[7200]	None	False	2	1	1	99.69	0	0	None	273	via tfasty with HERVK22_env [Catarrhini]
HERVK3_gag	DF0000195	gag	212	1777	1	[212]	[1777]	None	False	1	5	1	99.62	0	0	None	273	via tfasty with HERVK22_gagpro [Catarrhini]
HERVK3_pol	DF0000195	pol	2635	5403	1	[2635]	[5403]	None	False	8	5	1	98.91	0	0	None	273	via tfasty with HERVK22_pol [Catarrhini]
HERVK3_pro	DF0000195	pro	1777	2647	1	[1777]	[2647]	None	False	2	1	0	98.97	0	0	None	273	via tfasty with HERVK22_pro [Catarrhini]
HERVK9_env	DF0000196	env	4892	6020	1	[4892]	[6020]	None	False	0	1	0	100	0	0	None	273	Fragment (two large internal deletions and non-functional), via tfasty with HERVK14C_env [Catarrhini]
HERVK9_gag	DF0000196	gag	153	1556	1	[153]	[1556]	None	False	0	0	0	100	0	0	None	273	[Catarrhini]
HERVK9_pol	DF0000196	pol	2365	5094	1	[2365]	[5094]	None	False	0	0	0	100	0	0	None	273	[Catarrhini]
HERVK9_pro	DF0000196	pro	1511	2362	1	[1511]	[2362]	None	False	0	0	0	100	0	0	None	273	[Catarrhini]
HERVL18_env	DF0000199	env	4896	6036	1	[4896]	[6036]	None	False	1	1	0	98.68	0	0	None	281	via tfasty with PRIMA41_env [Simiiformes]
HERVL18_gag	DF0000199	gag	60	1485	1	[60]	[1485]	None	False	1	1	0	98.74	0	0	None	281	via tfasty with CarERVR1_gag [Simiiformes]
HERVL18_pol	DF0000199	pol	1528	4882	1	[1528]	[4882]	None	False	5	2	2	98.66	0	0	None	281	via tfasty with GGERVL18_pol [Simiiformes]
HERVL66_env	DF0000202	env	3059	4307	1	[3059]	[4307]	None	False	0	1	0	99.76	0	0	None	260	via tfasty with CarERV2_env (ERV1 env with ERVL pol) [Simiiformes]
HERVL66_pol	DF0000202	pol	435	3074	1	[435]	[3074]	None	False	0	0	0	100	0	0	None	281	[Simiiformes]
HERVP71A_env	DF0000204	env	5556	7571	1	[5556]	[7571]	None	False	0	0	0	100	0	0	None	260	[Simiiformes]
HERVP71A_gag	DF0000204	gag	461	2014	1	[461]	[2014]	None	False	0	0	0	100	0	0	None	260	[Simiiformes]
HERVP71A_pol	DF0000204	pol	2018	5518	1	[2018]	[5518]	None	False	0	0	0	100	0	0	None	260	[Simiiformes]
HERVS71_env	DF0000205	env	6990	8858	1	[6990]	[8858]	None	False	1	0	0	99.04	0	0	None	260	via tfasty with GALV_env [Catarrhini]
HERVS71_gag	DF0000205	gag	1878	3433	1	[1878]	[3433]	None	False	1	1	1	98.46	0	0	None	260	via tfasty with KORV_gag [Catarrhini]
HERVS71_pol	DF0000205	pol	3443	7038	1	[3443]	[7038]	None	False	1	1	1	98.5	0	0	None	260	via tfasty with CfERV1_pol [Catarrhini]
HSMAR1_tp	DF0000212	tp	188	1207	1	[188]	[1207]	None	False	1	0	0	99.71	0	0	None	120	via tfasty with Mariner-13_HSal_tp [Simiiformes]
HSMAR2_tp	DF0000213	tp	183	1235	1	[183]	[1235]	None	False	0	0	0	100	0	0	None	120	[Primates]
HUERS-P3_gag	DF0000216	gag	1522	3020	1	[1522]	[3020]	None	False	0	1	1	99	0	0	None	260	via tfasty with HERV17_gag [Simiiformes]
HUERS-P3_pol	DF0000216	pol	3054	6523	1	[3054]	[6523]	None	False	1	3	3	98.53	0	0	None	260	via tfasty with HERV17_pol [Simiiformes]
Kanga1_tp	DF0000218	tp	240	1508	1	[240]	[1508]	None	False	0	0	0	100	0	0	None	116	[Eutheria]
L1PA2_gag	DF0000226	gag	907	1920	1	[907]	[1920]	None	False	0	0	0	99.11	0	0	None	262	[Hominidae]
L1MA1_gag	DF0000227	gag	2055	3020	1	[2055]	[3020]	None	False	0	0	0	100	0	0	None	262	L1M1_5end_2055-3023 [Primates]
L1MA6_gag	DF0000229	gag	1641	2642	1	[1641]	[2642]	None	False	0	0	0	100	0	0	None	262	L1M2_5end_1641-2645 [Eutheria]
L1MB8_gag	DF0000249	gag	782	1762	1	[782]	[1762]	None	False	0	0	0	100	0	0	None	262	L1M4c_5end_782-1765 [Eutheria]
L1MC4_gag	DF0000278	gag	730	1740	1	[730]	[1740]	None	False	1	0	0	99.11	0	0	None	262	L1MC4_5end_730-1740 via tfasty with L1MC1_gag [Eutheria]
L1MC1_gag	DF0000282	gag	778	1745	1	[778]	[1745]	None	False	0	4	1	100	0	0	None	262	L1MCa_5end_778-1745 via tfasty with L1MA6_gag [Eutheria]
L1MD1_gag	DF0000290	gag	1056	2018	1	[1056]	[2018]	None	False	1	4	2	99.06	0	0	None	262	L1MDa_5end_1056-2021 via tfasty with L1MA6_gag [Eutheria]
L1MEf_gag	DF0000308	gag	634	1590	1	[634]	[1590]	None	False	0	0	0	99.37	0	0	None	262	[Eutheria]
L1MEh_gag	DF0000312	gag	735	1658	1	[735]	[1658]	None	False	0	0	0	100	0	0	None	262	[Mammalia]
L1MEi_gag	DF0000313	gag	630	1607	1	[630]	[1607]	None	False	0	0	0	100	0	0	None	262	[Mammalia]
L1MEj_gag	DF0000314	gag	510	1385	1	[510]	[1385]	None	False	0	0	0	100	0	0	None	262	[Mammalia]
L1PA16_gag	DF0000321	gag	1304	2371	1	[1304]	[2371]	None	False	3	0	0	99.16	0	0	None	262	L1P4a_5end_1304-2371 via tfasty with L1PA2_gag [Primates]
L1PA10_gag	DF0000328	gag	1206	2246	1	[1206]	[2246]	None	False	1	0	0	97.41	0	0	None	262	[Primates]
L1PA15_gag	DF0000334	gag	1738	2740	1	[1738]	[2740]	None	False	2	1	0	99.4	0	0	None	262	L1PA15-16_5end_1738-2740 via tfasty with L1PA10_gag (latter replaced with arginines as in other subfamilies). [Primates]
L1PA12_gag	DF0000356	gag	3022	4056	1	[3022]	[4056]	None	False	1	0	0	99.71	0	0	None	262	[Primates]
L3_gag	DF0000362	gag	105	1097	1	[105]	[1097]	None	False	0	0	0	100	0	0	None	268	[Theria mammalia]
L3_pol	DF0000362	pol	947	4015	1	[947]	[4015]	None	False	0	0	0	98.92	0	0	None	268	[Theria mammalia]
L4_A_Mam	DF0000364	unk	1491	4796	1	[1491]	[4796]	None	False	0	0	0	99.09	0	0	None	263	Closest to L5_pol and then (32% id, 50% sim) RTEX-1_ACar_pol in the Anolis genome [Eutheria]
L4_A_Mam_gag	DF0000364	gag	51	1487	1	[51]	[1487]	None	False	0	0	0	99.79	0	0	None	263	[Eutheria]
L4_B_Mam_gag	DF0000365	gag	58	1437	1	[58]	[1437]	None	False	0	0	0	100	0	0	None	263	[Eutheria]
L4_C_Mam_gag	DF0000366	gag	21	1628	1	[21]	[1628]	None	False	0	0	0	100	0	0	None	263	[Eutheria]
L4_C_Mam_pol	DF0000366	pol	1632	4952	1	[1632]	[4952]	None	False	0	0	0	99.55	0	0	None	263	[Eutheria]
L5_pol	DF0000367	pol	6	2069	1	[6]	[2069]	None	False	0	0	0	100	0	0	None	263	RTE group, but L4- and L5-pol seem to share a C-terminal 200 AA not seen in other RTE pols [Theria mammalia]
Looper_tp	DF0000369	tp	573	1396	1	[573]	[1396]	None	False	0	1	1	100	0	0	None	109	via tfasty with IFP2_tp [Eutheria]
LTR46_pol	DF0000529	pol	1968	5519	1	[1968]	[5519]	None	False	7	5	1	99.07	0	0	None	260	via tfasty with CfERVF1_pol [Primates]
LTR57_pol	DF0000553	pol	1709	4718	1	[1709]	[4718]	None	False	5	6	4	99.1	0	0	None	281	via tfasty with GGERVL18_pol [Primates]
Charlie7_tp	DF0000627	tp	386	2131	1	[386]	[2131]	None	False	0	0	0	100	0	0	None	95	[Eutheria] Charlie7_Aves & hAT-7_Crp (should be Charlie7_Longi_tp) bsaically identical
HERV17_env	DF0000628	env	6934	8565	1	[6934]	[8565]	None	False	0	0	0	100	0	0	None	260	HERV30_env really close [Catarrhini]
HERV17_gag	DF0000628	gag	1914	3140	1	[1914]	[3140]	None	False	0	0	0	100	0	0	None	260	HERV30_gag really close [Catarrhini]
HERV17_pol	DF0000628	pol	3415	6909	1	[3415]	[6909]	None	False	0	0	0	100	0	0	None	260	HERV30_pol really close [Catarrhini]
MER34_pol	DF0000757	pol	2779	6344	1	[2779]	[6344]	None	False	4	6	5	99.16	0	0	None	260	via tfasty with PRIMA4_pol [Euarchontoglires]
ERVL-B4_gag	DF0000775	gag	45	1781	1	[45]	[1781]	None	False	0	0	0	100	0	0	None	281	(HERVL gag close) [Eutheria]
ERVL-B4_pol	DF0000775	pol	1785	5333	1	[1785]	[5333]	None	False	0	0	0	100	0	0	None	281	(HERVL pol close) [Eutheria]
MER45R_tp	DF0000788	tp	522	1309	1	[522]	[1309]	None	False	2	1	1	98.09	0	0	None	86	wised with 9293884_Ath [Eutheria]
THE1_gag	DF0000817	gag	49	1398	1	[49]	[1398]	None	False	0	0	0	100	0	0	None	282	[Simiiformes]
Tigger10_tp	DF0000821	tp	107	1852	1	[107]	[1852]	None	False	0	0	0	97.59	0	0	None	155	[Theria mammalia]
Tigger17_tp	DF0000830	tp	113	2092	1	[113]	[2092]	None	False	0	0	0	99.85	0	0	None	155	[Eutheria]
Tigger2_tp	DF0000836	tp	603	2483	1	[603]	[2483]	None	False	0	0	0	100	0	0	None	155	[Cetartiodactyla]
Tigger3_tp	DF0000840	tp	463	2304	1	[463]	[2304]	None	False	0	0	0	100	0	0	None	155	[Primates]
Tigger4_tp	DF0000844	tp	409	2070	1	[409]	[2070]	None	False	0	0	0	100	0	0	None	155	[Primates]
Tigger5_tp	DF0000847	tp	125	2065	1	[125]	[2065]	None	False	0	0	0	100	0	0	None	155	[Primates]
Tigger7_tp	DF0000851	tp	320	2245	1	[320]	[2245]	None	False	0	0	0	100	0	0	None	155	[Primates]
MER52_gag	DF0000855	gag	1437	3008	1	[1437]	[3008]	None	False	1	0	0	99.81	0	0	None	260	[Eutheria]
MER57A_env	DF0000862	env	4795	5634	1	[4795]	[5634]	None	False	2	0	0	99.29	0	0	None	260	via tfasty with MER70_env [Haplorrhini]
Tigger1_tp	DF0000891	tp	425	2161	1	[425]	[2161]	None	False	1	0	0	99.83	0	0	None	155	stopcodon bridged [Afrotheria]
MER66_gag	DF0000906	gag	1355	2853	1	[1355]	[2853]	None	False	3	4	1	97.19	0	1	None	260	via tfasty with HERVFH19_gag [Simiiformes]
MER70_env	DF0000921	env	3470	4888	1	[3470]	[4888]	None	False	0	0	0	100	0	0	None	281	[Eutheria]
MER70_pol	DF0000921	pol	590	3520	1	[590]	[3520]	None	False	4	5	4	99.49	0	0	None	281	via tfasty with MERVL_pol [Eutheria]
MER83A_env	DF0000938	env	2879	4019	1	[2879]	[4019]	None	False	1	1	0	98.68	0	0	None	260	via tfasty with GGLTR7_env [Eutheria]
MER84_env	DF0000943	env	3916	4818	1	[3916]	[4818]	None	False	0	0	0	100	0	0	None	260	fragment [Primates]
MER84_gag	DF0000943	gag	626	2326	1	[626]	[2326]	None	False	0	2	1	99.65	0	0	None	260	via tfasty with CarERV2_gag [Primates]
MER84_pol	DF0000943	pol	2360	3925	1	[2360]	[3925]	None	False	2	4	2	99.04	0	0	None	260	via tfasty with CarERV2_pol, fragment [Primates]
MamGyp_gag	DF0000979	gag	94	1275	1	[94]	[1275]	None	False	0	0	0	100	0	0	None	181	[Theria mammalia]
MamGyp_pol	DF0000979	pol	1345	3870	1	[1345]	[3870]	None	False	0	0	0	100	0	852	None	181	[Theria mammalia] 
Mam_R4_pol	DF0000984	pol	238	3723	1	[238]	[3723]	None	False	0	0	0	100	0	0	None	250	[Mammalia]
Merlin1_HS	DF0001000	unk	153	1069	1	[153]	[1069]	None	False	0	1	1	100	0	0	None	47	( [Primates]
MLT1H_gag	DF0001016	gag	49	1185	1	[49]	[1185]	None	False	0	0	0	100	0	0	None	282	[Eutheria]
MST_gag	DF0001046	gag	48	1466	1	[48]	[1466]	None	False	0	0	0	100	0	0	None	282	[Primates]
PABL_B_gag	DF0001051	gag	382	1877	1	[382]	[1877]	None	False	5	1	1	96.99	0	0	None	260	via tfasty with CfERV1_gag [Primates]
PABL_B_pol	DF0001051	pol	1992	5570	1	[1992]	[5570]	None	False	8	2	1	97.82	0	0	None	260	via tfasty with CarERV2_pol [Primates]
PRIMA41_env	DF0001052	env	6261	7530	1	[6261]	[7530]	None	False	8	1	0	97.87	0	0	None	260	via tfasty with PRIMA4_env [Primates]
PRIMA41_gag	DF0001052	gag	1013	2606	1	[1013]	[2606]	None	False	5	3	1	98.68	0	0	None	260	via tfasty with MER66_gag [Primates]
PRIMA41_pol	DF0001052	pol	2703	6250	1	[2703]	[6250]	None	False	12	5	3	98.98	0	0	None	260	via tfasty with CarERV2_pol [Primates]
PRIMA4_env	DF0001053	env	6496	7908	1	[6496]	[7908]	None	False	0	0	0	100	0	0	None	260	[Primates]
PRIMA4_gag	DF0001053	gag	1205	2539	1	[1205]	[2539]	None	False	0	0	0	100	0	0	None	260	[Primates]
PRIMA4_pol	DF0001053	pol	2543	6325	1	[2543]	[6325]	None	False	0	0	0	100	0	0	None	260	[Primates]
Ricksha	DF0001058	unk	963	2399	1	[963]	[2399]	None	False	0	0	0	100	0	0	None	112	[Primates]
X9_LINE_gag	DF0001122	gag	46	936	1	[46]	[936]	None	False	0	0	0	100	0	2	None	262	[Amniota]
Zaphod_tp	DF0001123	tp	1010	3742	1	[1010]	[3742]	None	False	0	0	0	100	0	0	None	86	[Eutheria]
Zaphod2_tp	DF0001124	tp	822	3353	1	[822]	[3353]	None	False	0	0	0	100	0	0	None	86	[Eutheria]
Zaphod3_tp	DF0001125	tp	806	2293	1	[806]	[2293]	None	False	0	0	0	100	0	0	None	86	(fragment) [Eutheria]
Plat_L3_pol	DF0001135	pol	598	3501	1	[598]	[3501]	None	False	0	0	0	100	0	0	None	268	[Mammalia]
EuthAT-2_tp	DF0001172	tp	727	2559	1	[727]	[2559]	None	False	0	0	0	100	0	0	None	94	[Eutheria]
Arthur2_tp	DF0001276	tp	504	3239	1	[504]	[3239]	None	False	0	0	0	100	0	0	None	86	[Mammalia]
hAT-1_Mam_tp	DF0001293	tp	1007	2914	1	[1007]	[2914]	None	False	0	0	0	100	0	0	None	84	[Theria mammalia]
Tigger6_tp	DF0001299	tp	351	2003	1	[351]	[2003]	None	False	0	0	0	100	0	0	None	155	[Eutheria]
CR1-3_Crp_pol	DF0001325	pol	246	2999	1	[246]	[2999]	None	False	0	0	0	100	0	0	None	268	via tfasty with Plat_L3_pol [Crocodylidae]
CR1-L3A_Croc_gag	DF0001326	gag	222	1310	1	[222]	[1310]	None	False	0	0	0	100	0	0	None	268	[Amniota]
CR1-L3A_Croc_pol	DF0001326	pol	1346	4237	1	[1346]	[4237]	None	False	0	0	0	100	0	0	None	268	[Amniota]
CR1-L3B_Croc_pol	DF0001327	pol	329	3148	1	[329]	[3148]	None	False	0	0	0	100	0	0	None	268	[Amniota]
L2-1_AMi	DF0001334	unk	3	1171	1	[3]	[1171]	None	False	2	3	2	99.48	0	0	None	275	(fragment) via tfasty with L2_Plat1i_pol [Amniota]
DIRS-1a_Amnio_pol	DF0006271	pol	1868	3934	1	[1868]	[3934]	None	False	0	0	0	100	0	0	None	182	[Amniota]
DIRS-1a_Amnio_yr	DF0006271	yr	3673	4959	1	[3673]	[4959]	None	False	0	0	0	100	0	0	None	182	Tyrosine recombinase / Cre recombinase (the YR ORF often overlaps the pol CDS) [Amniota]
